全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,絵本,雑誌,点字本,視聴覚資料,外国語の本,新聞(全国紙),新聞(地方紙),新聞(その他),地元出身の作家の本コーナー,インターネットを使える端末,インターネットでの蔵書検索,プリンター,フリーWi-Fi,飲食物を購入できる場所,おはなし会,映画会,講座等,閲覧できる場所,映像が見れる場所,自習室,ソファー,キッズスペース,飲み物,食べ物,私語,自習,パソコン作業
131211,131211000153,東京都足立区,伊興図書館,,,,,,,131211,,東京都足立区伊興2丁目4-22伊興地域学習センター内,東京都,足立区,伊興2丁目,4-22 伊興地域学習センター内,,35.791231,139.780920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/001.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000154,東京都足立区,梅田図書館,,,,,,,131211,,東京都足立区梅田7丁目13-1,東京都,足立区,梅田7丁目,13-1,,35.768331,139.800682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/002.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000155,東京都足立区,興本図書館,,,,,,,131211,,東京都足立区興野1丁目18-38興本地域学習センター内,東京都,足立区,興野1丁目,18-38 興本地域学習センター内,,35.768278,139.782314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/003.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000156,東京都足立区,江北図書館,,,,,,,131211,,東京都足立区江北3丁目39-4江北地域学習センター内,東京都,足立区,江北3丁目,39-4 江北地域学習センター内,,35.775921,139.760149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/004.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000157,東京都足立区,佐野図書館,,,,,,,131211,,東京都足立区佐野2丁目43-5佐野地域学習センター内,東京都,足立区,佐野2丁目,43-5 佐野地域学習センター内,,35.788159,139.840304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/005.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000158,東京都足立区,鹿浜図書館,,,,,,,131211,,東京都足立区鹿浜6丁目8-1鹿浜地域学習センター内,東京都,足立区,鹿浜6丁目,8-1 鹿浜地域学習センター内,,35.784068,139.758212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/006.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000159,東京都足立区,新田コミュニティ図書館,,,,,,,131211,,東京都足立区新田2丁目2-2新田地域学習センター内,東京都,足立区,新田2丁目,2-2 新田地域学習センター内,,35.771499,139.738047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/007.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000160,東京都足立区,竹の塚図書館,,,,,,,131211,,東京都足立区竹の塚2丁目25-17竹の塚地域学習センター内,東京都,足立区,竹の塚2丁目,25-17 竹の塚地域学習センター内,,35.792628,139.794728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/009.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000161,東京都足立区,中央図書館,,,,,,,131211,,東京都足立区千住5丁目13-5,東京都,足立区,千住5丁目,13-5,,35.756543,139.802549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/010.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000162,東京都足立区,東和図書館,,,,,,,131211,,東京都足立区東和3丁目12-9東和地域学習センター内,東京都,足立区,東和3丁目,12-9 東和地域学習センター内,,35.771173,139.839504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/011.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000163,東京都足立区,舎人図書館,,,,,,,131211,,東京都足立区舎人1丁目3-26舎人地域学習センター内,東京都,足立区,舎人1丁目,3-26 舎人地域学習センター内,,35.805972,139.773130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/012.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000164,東京都足立区,花畑図書館,,,,,,,131211,,東京都足立区花畑4丁目16-8花畑地域学習センター内,東京都,足立区,花畑4丁目,16-8 花畑地域学習センター内,,35.802883,139.807468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/013.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000165,東京都足立区,保塚図書館,,,,,,,131211,,東京都足立区保塚町7-16保塚地域学習センター内,東京都,足立区,保塚町,7-16 保塚地域学習センター内,,35.786792,139.815874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/014.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000166,東京都足立区,江南コミュニティ図書館,,,,,,,131211,,東京都足立区小台2丁目4-18,東京都,足立区,小台2丁目,4-18,,35.755688,139.757669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/015.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131211,131211000167,東京都足立区,やよい図書館,,,,,,,131211,,東京都足立区中央本町3丁目15-1中央本町地域学習センター内,東京都,足立区,中央本町3丁目,15-1 中央本町地域学習センター内,,35.772265,139.809759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/016.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
